Date,total-currently-infected-linear,deaths-cured-outcome-small,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily,cases-cured-daily,deaths-cured-outcome
Feb 15,7,20,12,12,,7,1,1,,,20
Feb 16,7,20,12,12,0,7,1,1,0,0,20
Feb 17,6,16.67,12,12,0,6,1,1,0,1,16.67
Feb 18,4,12.5,12,12,0,4,1,1,0,2,12.5
Feb 19,4,12.5,12,12,0,4,1,1,0,0,12.5
Feb 20,4,12.5,12,12,0,4,1,1,0,0,12.5
Feb 21,4,12.5,12,12,0,4,1,1,0,0,12.5
Feb 22,1,9.09,12,12,0,1,1,1,0,3,9.09
Feb 23,1,9.09,12,12,0,1,1,1,0,0,9.09
Feb 24,0,8.33,12,12,0,0,1,1,0,1,8.33
Feb 25,2,8.33,14,14,2,2,1,1,0,0,8.33
Feb 26,5,15.38,18,18,4,5,2,2,1,0,15.38
Feb 27,25,15.38,38,38,20,25,2,2,0,0,15.38
Feb 28,44,15.38,57,57,19,44,2,2,0,0,15.38
Feb 29,86,14.29,100,100,43,86,2,2,0,1,14.29
Mar 01,116,14.29,130,130,30,116,2,2,0,0,14.29
Mar 02,176,20,191,191,61,176,3,3,1,0,20
Mar 03,196,25,212,212,21,196,4,4,1,0,25
Mar 04,269,25,285,285,73,269,4,4,0,0,25
Mar 05,404,36.84,423,423,138,404,7,7,3,0,36.84
Mar 06,632,42.86,653,653,230,632,9,9,2,0,42.86
Mar 07,921,57.14,949,949,296,921,16,16,7,0,57.14
Mar 08,1178,61.29,1209,1209,260,1178,19,19,3,0,61.29
Mar 09,1370,71.43,1412,1412,203,1370,30,30,11,0,71.43
Mar 10,1739,73.33,1784,1784,372,1739,33,33,3,0,73.33
Mar 11,2221,80,2281,2281,497,2221,48,48,15,0,80
Mar 12,2803,83.56,2876,2876,595,2803,61,61,13,0,83.56
Mar 13,3570,86.81,3661,3661,785,3570,79,79,18,0,86.81
Mar 14,4396,88.35,4499,4499,838,4396,91,91,12,0,88.35
Mar 15,5284,91.37,5423,5423,924,5284,127,127,36,0,91.37
Mar 16,6473,92.5,6633,6633,1210,6473,148,148,21,0,92.5
Mar 17,6953,22.52,7730,7730,1097,6953,175,175,27,590,22.52
Mar 18,8268,30.48,9134,9134,1404,8268,264,264,89,0,30.48
Mar 19,9328,22.32,10995,10995,1861,9328,372,372,108,693,22.32
Mar 20,10575,22.09,12612,12612,1617,10575,450,450,78,292,22.09
Mar 21,12310,26.15,14459,14459,1847,12310,562,562,112,0,26.15
Mar 22,13144,23.45,16018,16018,1559,13144,674,674,112,613,23.45
Mar 23,16796,28.1,19856,19856,3838,16796,860,860,186,0,28.1
Mar 24,17923,25.11,22304,22304,2448,17923,1100,1100,240,1081,25.11
Mar 25,20002,25.44,25233,25233,2929,20002,1331,1331,231,619,25.44
Mar 26,22511,25.53,29155,29155,3922,22511,1696,1696,365,1048,25.53
Mar 27,25269,25.93,32964,32964,3809,25269,1995,1995,299,752,25.93
Mar 28,29561,28.87,37575,37575,4611,29561,2314,2314,319,0,28.87
Mar 29,30366,26.57,40174,40174,2599,30366,2606,2606,292,1502,26.57
Mar 30,33599,27.61,44550,44550,4376,33599,3024,3024,418,725,27.61
Mar 31,39161,27.17,52128,52128,7578,39161,3523,3523,499,1517,27.17
Apr 01,42022,26.94,56989,56989,4861,42022,4032,4032,509,1491,26.94
Apr 02,41290,30.24,59105,59105,2116,41290,5387,5387,1355,1493,30.24
Apr 03,55945,31.72,76460,76460,17355,55945,6507,6507,1120,1580,31.72
Apr 04,60021,32.87,83019,83019,6559,60021,7560,7560,1053,1430,32.87
Apr 05,63458,33.3,87719,87719,4700,63458,8078,8078,518,745,33.3
Apr 06,64291,34.06,90452,90452,2733,64291,8911,8911,833,1067,34.06
Apr 07,69515,34.82,99180,99180,8728,69515,10328,10328,1417,2087,34.82
Apr 08,70938,33.84,103061,103061,3881,70938,10869,10869,541,1917,33.84
Apr 09,72280,34.48,107696,107696,4635,72280,12210,12210,1341,1952,34.48
Apr 10,75798,34.61,113927,113927,6231,75798,13197,13197,987,1726,34.61
Apr 11,77955,34.39,118178,118178,4251,77955,13832,13832,635,1459,34.39
Apr 12,79054,34.62,120633,120633,2455,79054,14393,14393,561,795,34.62
Apr 13,81613,35.06,124298,124298,3665,81613,14967,14967,574,532,35.06
Apr 14,85719,35.32,130253,130253,5955,85719,15729,15729,762,1087,35.32
Apr 15,85522,35.67,133644,133644,3391,85522,17167,17167,1438,2150,35.67
Apr 16,90040,35.32,140772,140772,7128,90040,17920,17920,753,1857,35.32
Apr 17,90015,35.18,143116,143116,2344,90015,18681,18681,761,1608,35.18
Apr 18,91476,34.94,146782,146782,3666,91476,19323,19323,642,1563,34.94
Apr 19,91548,35.03,147844,147844,1062,91548,19718,19718,395,595,35.03
