Date,total-currently-infected-linear,deaths-cured-outcome-small,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily,cases-cured-daily,deaths-cured-outcome
Feb 15,14,0,16,16,,14,0,0,0,0,0
Feb 16,14,0,16,16,0,14,0,0,0,0,0
Feb 17,12,0,16,16,0,12,0,0,0,4,0
Feb 18,10,0,16,16,0,10,0,0,0,2,0
Feb 19,8,0,16,16,0,8,0,0,0,0,0
Feb 20,6,0,16,16,0,6,0,0,0,4,0
Feb 21,4,0,16,16,0,4,0,0,0,1,0
Feb 22,2,0,16,16,0,2,0,0,0,0,0
Feb 23,2,0,16,16,0,2,0,0,0,0,0
Feb 24,2,0,16,16,0,2,0,0,0,0,0
Feb 25,3,0,18,18,2,3,0,0,0,1,0
Feb 26,5,0,26,26,8,5,0,0,0,0,0
Feb 27,16,0,48,48,22,16,0,0,0,1,0
Feb 28,33,0,74,74,26,33,0,0,0,0,0
Feb 29,51,0,79,79,5,51,0,0,0,0,0
Mar 01,78,0,130,130,51,78,0,0,0,0,0
Mar 02,109,0,165,165,35,109,0,0,0,0,0
Mar 03,150,0,203,203,38,150,0,0,0,0,0
Mar 04,194,0,262,262,59,194,0,0,0,0,0
Mar 05,321,0,545,545,283,321,0,0,0,1,0
Mar 06,475,0,670,670,125,475,0,0,0,1,0
Mar 07,654,0,800,800,130,654,0,0,0,0,0
Mar 08,819,0,1040,1040,240,819,0,0,0,0,0
Mar 09,1002,10,1224,1224,184,1002,2,2,2,0,10
Mar 10,1257,10,1565,1565,341,1257,2,2,0,0,10
Mar 11,1563,10.71,1966,1966,401,1563,3,3,1,7,10.71
Mar 12,2065,19.35,2745,2745,779,2065,6,6,3,0,19.35
Mar 13,2757,14.81,3675,3675,930,2757,8,8,2,21,14.81
Mar 14,3626,16.36,4599,4599,924,3626,9,9,1,0,16.36
Mar 15,4640,22.03,5813,5813,1214,4640,13,13,4,0,22.03
Mar 16,5829,20.24,7272,7272,1459,5829,17,17,4,21,20.24
Mar 17,7405,27.96,9367,9367,2095,7405,26,26,9,0,27.96
Mar 18,9551,21.05,12327,12327,2960,9551,28,28,2,38,21.05
Mar 19,12209,27.67,15320,15320,2993,12209,44,44,16,10,27.67
Mar 20,15652,27.42,19848,19848,4528,15652,68,68,24,65,27.42
Mar 21,18944,28.67,22364,22364,2516,18944,84,84,16,29,28.67
Mar 22,22062,26.11,24873,24873,2509,22062,94,94,10,57,26.11
Mar 23,25022,21.35,29056,29056,4183,25022,123,123,29,187,21.35
Mar 24,27512,4.61,32991,32991,3935,27512,159,159,36,2837,4.61
Mar 25,30530,5.49,37323,37323,4332,30530,206,206,47,257,5.49
Mar 26,33703,4.49,43938,43938,6615,33703,267,267,61,2126,4.49
Mar 27,38476,5.01,50871,50871,6933,38476,351,351,84,985,5.01
Mar 28,43548,4.86,57695,57695,6824,43548,433,433,82,1823,4.86
Mar 29,48441,5.55,62435,62435,4740,48441,541,541,108,730,5.55
Mar 30,51401,4.56,66885,66885,4450,51401,645,645,104,4289,4.56
Mar 31,53452,4.59,71808,71808,4923,53452,775,775,130,2600,4.59
Apr 01,55341,4.74,77981,77981,6173,55341,931,931,156,2600,4.74
Apr 02,58176,4.7,84794,84794,6813,58176,1107,1107,176,3740,4.7
Apr 03,61636,4.93,91159,91159,6365,61636,1275,1275,168,2135,4.93
Apr 04,64935,5.19,96092,96092,4933,64935,1444,1444,169,1825,5.19
Apr 05,67799,5.23,100123,100123,4031,67799,1584,1584,140,2300,5.23
Apr 06,70317,5.93,103375,103375,3252,70317,1810,1810,226,0,5.93
Apr 07,70757,5.29,107663,107663,4288,70757,2016,2016,206,7381,5.29
Apr 08,69026,4.83,113296,113296,5633,69026,2349,2349,333,10219,4.83
Apr 09,65812,4.74,118235,118235,4939,65812,2607,2607,258,6107,4.74
Apr 10,64464,4.83,122171,122171,3936,64464,2736,2736,129,1506,4.83
Apr 11,64642,4.76,125452,125452,3281,64642,2871,2871,135,3487,4.76
Apr 12,65079,4.77,127854,127854,2402,65079,3022,3022,151,2900,4.77
Apr 13,64097,4.73,130072,130072,2218,64097,3194,3194,172,4000,4.73
Apr 14,62541,4.87,132210,132210,2138,62541,3495,3495,301,3900,4.87
Apr 15,60480,4.98,134753,134753,2543,60480,3804,3804,309,4400,4.98
Apr 16,58503,5,137698,137698,2945,58503,4052,4052,248,4400,5
Apr 17,56309,4.98,141397,141397,3699,56309,4352,4352,300,6114,4.98
Apr 18,54788,5.05,143724,143724,2327,54788,4538,4538,186,2286,5.05
Apr 19,53605,5.01,145742,145742,2018,53605,4642,4642,104,2600,5.01
Apr 20,52529,5.05,147065,147065,1323,52529,4862,4862,220,3500,5.05
Apr 21,50657,5.07,148453,148453,1388,50657,5086,5086,224,3700,5.07
Apr 22,48267,5.08,150648,150648,2195,48267,5315,5315,229,4200,5.08
Apr 23,46118,5.12,153129,153129,2481,46118,5575,5575,260,3900,5.12
Apr 24,44208,5.12,154999,154999,1870,44208,5760,5760,185,3500,5.12
Apr 25,42510,5.08,156513,156513,1514,42510,5877,5877,117,3000,5.08
Apr 26,41023,5.07,157770,157770,1257,41023,5976,5976,99,2200,5.07
Apr 27,39587,5.08,158758,158758,988,39587,6126,6126,150,2500,5.08
Apr 28,38041,5.1,159912,159912,1154,38041,6314,6314,188,2900,5.1
Apr 29,36335,5.1,161539,161539,1627,36335,6467,6467,153,3000,5.1
Apr 30,34586,5.09,163009,163009,1470,34586,6623,6623,156,3100,5.09
May 01,32666,5.04,164077,164077,1068,32666,6736,6736,113,3400,5.04
May 02,30827,5.02,164967,164967,890,30827,6812,6812,76,2100,5.02
May 03,29265,4.99,165664,165664,697,29265,6866,6866,54,1600,4.99
