Date,deaths-cured-outcome-small,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily,cases-cured-daily,deaths-cured-outcome
Feb 15,0,3,3,,1,0,0,0,0,0
Feb 16,0,3,3,0,0,0,0,0,0,0
Feb 17,0,3,3,0,0,0,0,0,0,0
Feb 18,0,3,3,0,0,0,0,0,0,0
Feb 19,0,3,3,0,0,0,0,0,0,0
Feb 20,0,3,3,0,0,0,0,0,0,0
Feb 21,0,3,3,0,0,0,0,0,0,0
Feb 22,0,3,3,0,0,0,0,0,0,0
Feb 23,0,3,3,0,0,0,0,0,0,0
Feb 24,0,3,3,0,0,0,0,0,0,0
Feb 25,0,3,3,0,0,0,0,0,0,0
Feb 26,0,3,3,0,0,0,0,0,0,0
Feb 27,0,3,3,0,0,0,0,0,0,0
Feb 28,0,3,3,0,0,0,0,0,0,0
Feb 29,0,3,3,0,0,0,0,0,0,0
Mar 01,0,3,3,0,0,0,0,0,0,0
Mar 02,0,6,6,3,1,0,0,0,0,0
Mar 03,0,7,7,1,2,0,0,0,0,0
Mar 04,0,29,29,22,11,0,0,0,0,0
Mar 05,0,30,30,1,19,0,0,0,0,0
Mar 06,0,31,31,1,27,0,0,0,0,0
Mar 07,0,34,34,3,29,0,0,0,0,0
Mar 08,0,40,40,6,32,0,0,0,0,0
Mar 09,0,47,47,7,37,0,0,0,1,0
Mar 10,0,62,62,15,46,0,0,0,0,0
Mar 11,0,62,62,0,53,0,0,0,0,0
Mar 12,20,74,74,12,62,1,1,1,0,20
Mar 13,16.67,82,82,8,66,2,2,1,6,16.67
Mar 14,16.67,100,100,18,75,2,2,0,0,16.67
Mar 15,13.33,114,114,14,86,2,2,0,3,13.33
Mar 16,13.33,129,129,15,100,2,2,0,0,13.33
Mar 17,17.65,143,143,14,114,3,3,1,1,17.65
Mar 18,17.65,169,169,26,130,3,3,0,0,17.65
Mar 19,16.67,194,194,25,150,4,4,1,6,16.67
Mar 20,17.86,249,249,55,181,5,5,1,3,17.86
Mar 21,17.86,332,332,83,231,5,5,0,0,17.86
Mar 22,22.58,396,396,64,297,7,7,2,1,22.58
Mar 23,22.73,499,499,103,375,10,10,3,10,22.73
Mar 24,20,536,536,37,435,10,10,0,6,20
Mar 25,21.82,657,657,121,514,12,12,2,3,21.82
Mar 26,30.77,727,727,70,583,20,20,8,2,30.77
Mar 27,21.51,887,887,160,686,20,20,0,28,21.51
Mar 28,22.22,987,987,100,779,24,24,4,11,22.22
Mar 29,22.13,1024,1024,37,858,27,27,3,11,22.13
Mar 30,23.88,1251,1251,227,965,32,32,5,7,23.88
Mar 31,22.15,1397,1397,146,1086,35,35,3,21,22.15
Apr 01,28.16,1998,1998,601,1383,58,58,23,25,28.16
Apr 02,27.38,2543,2543,545,1770,72,72,14,43,27.38
Apr 03,30.94,3059,3059,516,2284,86,86,14,1,30.94
Apr 04,30.18,3588,3588,529,2773,99,99,13,37,30.18
Apr 05,26.46,4289,4289,701,3294,118,118,19,99,26.46
Apr 06,26.61,4778,4778,489,3789,136,136,18,47,26.61
Apr 07,25.48,5351,5351,573,4278,160,160,24,93,25.48
Apr 08,26.02,5916,5916,565,4740,178,178,18,38,26.02
Apr 09,26.33,6725,6725,809,5273,227,227,49,129,26.33
Apr 10,24.34,7600,7600,875,5891,249,249,22,139,24.34
Apr 11,22.91,8446,8446,846,6542,288,288,39,195,22.91
Apr 12,23.46,9205,9205,759,7187,331,331,43,111,23.46
Apr 13,23.26,10453,10453,1248,7965,358,358,27,101,23.26
Apr 14,22.43,11487,11487,1034,8814,393,393,35,178,22.43
Apr 15,21.87,12370,12370,883,9697,422,422,29,149,21.87
Apr 16,20.22,13430,13430,1060,10463,448,448,26,260,20.22
Apr 17,19.23,14352,14352,922,11160,486,486,38,273,19.23
Apr 18,17.46,16365,16365,2013,12140,521,521,35,422,17.46
Apr 19,16.38,17615,17615,1250,13136,559,559,38,391,16.38
Apr 20,15.32,18539,18539,924,14086,592,592,33,419,15.32
Apr 21,13.96,20080,20080,1541,14779,645,645,53,702,13.96
Apr 22,13.48,21370,21370,1290,15484,681,681,36,395,13.48
Apr 23,12.58,23039,23039,1669,16362,721,721,40,642,12.58
Apr 24,12.43,24447,24447,1408,17266,780,780,59,484,12.43
Apr 25,12.2,26283,26283,1836,18333,825,825,45,443,12.2
Apr 26,11.9,27890,27890,1607,19392,881,881,56,584,11.9
Apr 27,11.63,29451,29451,1561,20460,939,939,58,614,11.63
Apr 28,11.51,31324,31324,1873,21476,1008,1008,69,610,11.51
Apr 29,11.34,33062,33062,1738,22496,1079,1079,71,690,11.34
Apr 30,11.29,34863,34863,1801,23586,1154,1154,75,631,11.29
May 01,10.89,37257,37257,2394,24738,1223,1223,69,939,10.89
May 02,10.9,39699,39699,2442,26075,1323,1323,100,812,10.9
May 03,10.57,42505,42505,2806,27641,1391,1391,68,956,10.57
