Date,total-currently-infected-linear,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily
Feb 15,3,3,3,,3,0,0,
Feb 16,3,3,3,0,3,0,0,
Feb 17,3,3,3,0,3,0,0,
Feb 18,3,3,3,0,3,0,0,
Feb 19,3,3,3,0,3,0,0,
Feb 20,4,4,4,1,4,0,0,0
Feb 21,19,21,21,17,19,1,1,1
Feb 22,75,79,79,58,75,2,2,1
Feb 23,152,157,157,78,152,3,3,1
Feb 24,221,229,229,72,221,7,7,4
Feb 25,310,323,323,94,310,11,11,4
Feb 26,455,470,470,147,455,12,12,1
Feb 27,593,655,655,185,593,17,17,5
Feb 28,822,889,889,234,822,21,21,4
Feb 29,1049,1128,1128,239,1049,29,29,8
Mar 01,1577,1701,1701,573,1577,41,41,12
Mar 02,1835,2036,2036,335,1835,52,52,11
Mar 03,2263,2502,2502,466,2263,79,79,27
Mar 04,2706,3089,3089,587,2706,107,107,28
Mar 05,3296,3858,3858,769,3296,148,148,41
Mar 06,3916,4636,4636,778,3916,197,197,49
Mar 07,5061,5883,5883,1247,5061,233,233,36
Mar 08,6387,7375,7375,1492,6387,366,366,133
Mar 09,7985,9172,9172,1797,7985,463,463,97
Mar 10,8514,10149,10149,977,8514,631,631,168
Mar 11,10590,12462,12462,2313,10590,827,827,196
Mar 12,12839,15113,15113,2651,12839,1016,1016,189
Mar 13,14955,17660,17660,2547,14955,1266,1266,250
Mar 14,17750,21157,21157,3497,17750,1441,1441,175
Mar 15,20603,24747,24747,3590,20603,1809,1809,368
Mar 16,23073,27980,27980,3233,23073,2158,2158,349
Mar 17,26062,31506,31506,3526,26062,2503,2503,345
Mar 18,28710,35713,35713,4207,28710,2978,2978,475
Mar 19,33190,41035,41035,5322,33190,3405,3405,427
Mar 20,37860,47021,47021,5986,37860,4032,4032,627
Mar 21,42681,53578,53578,6557,42681,4825,4825,793
Mar 22,46638,59138,59138,5560,46638,5476,5476,651
Mar 23,50418,63927,63927,4789,50418,6077,6077,601
Mar 24,54030,69176,69176,5249,54030,6820,6820,743
Mar 25,57521,74386,74386,5210,57521,7503,7503,683
Mar 26,62013,80589,80589,6203,62013,8215,8215,712
Mar 27,66414,86498,86498,5909,66414,9134,9134,919
Mar 28,70065,92472,92472,5974,70065,10023,10023,889
Mar 29,73880,97689,97689,5217,73880,10779,10779,756
Mar 30,75528,101739,101739,4050,75528,11591,11591,812
Mar 31,77635,105792,105792,4053,77635,12428,12428,837
Apr 01,80572,110574,110574,4782,80572,13155,13155,727
Apr 02,83049,115242,115242,4668,83049,13915,13915,760
Apr 03,85388,119827,119827,4585,85388,14681,14681,766
Apr 04,88274,124632,124632,4805,88274,15362,15362,681
Apr 05,91246,128948,128948,4316,91246,15887,15887,525
Apr 06,93187,132547,132547,3599,93187,16523,16523,636
Apr 07,94067,135586,135586,3039,94067,17127,17127,604
Apr 08,95262,139422,139422,3836,95262,17669,17669,542
Apr 09,96877,143626,143626,4204,96877,18279,18279,610
Apr 10,98273,147577,147577,3951,98273,18849,18849,570
Apr 11,100269,152271,152271,4694,100269,19468,19468,619
Apr 12,102253,156363,156363,4092,102253,19899,19899,431
Apr 13,103616,159516,159516,3153,103616,20465,20465,566
Apr 14,104291,162488,162488,2972,104291,21067,21067,602
Apr 15,105418,165155,165155,2667,105418,21645,21645,578
Apr 16,106607,168941,168941,3786,106607,22170,22170,525
Apr 17,106962,172434,172434,3493,106962,22745,22745,575
Apr 18,107771,175925,175925,3491,107771,23227,23227,482
Apr 19,108257,178972,178972,3047,108257,23660,23660,433
Apr 20,108237,181228,181228,2256,108237,24114,24114,454
Apr 21,107709,183957,183957,2729,107709,24648,24648,534
Apr 22,107699,187327,187327,3370,107699,25085,25085,437
Apr 23,106848,189973,189973,2646,106848,25549,25549,464
Apr 24,106527,192994,192994,3021,106527,25969,25969,420
Apr 25,105847,195351,195351,2357,105847,26384,26384,415
Apr 26,106103,197675,197675,2324,106103,26644,26644,260
Apr 27,105813,199414,199414,1739,105813,26977,26977,333
Apr 28,105205,201505,201505,2091,105205,27359,27359,382
Apr 29,104657,203591,203591,2086,104657,27682,27682,323
Apr 30,101551,205463,205463,1872,101551,27967,27967,285
May 01,100943,207428,207428,1965,100943,28236,28236,269
May 02,100704,209328,209328,1900,100704,28710,28710,474
May 03,100179,210717,210717,1389,100179,28884,28884,174
May 04,99980,211938,211938,1221,99980,29079,29079,195
May 05,98467,213013,213013,1075,98467,29315,29315,236
May 06,91528,214457,214457,1444,91528,29684,29684,369
May 07,89624,215858,215858,1401,89624,29958,29958,274
May 08,87961,217185,217185,1327,87961,30201,30201,243
May 09,84842,218268,218268,1083,84842,30395,30395,194
May 10,83324,219070,219070,802,83324,30560,30560,165
May 11,82488,219814,219814,744,82488,30739,30739,179
May 12,81266,221216,221216,1402,81266,30911,30911,172
May 13,78457,222104,222104,888,78457,31106,31106,195
May 14,76440,223096,223096,992,76440,31368,31368,262
May 15,72070,223885,223885,789,72070,31610,31610,242
