Date,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily
Feb 15,28,28,,19,0,0,0
Feb 16,29,29,1,20,0,0,0
Feb 17,30,30,1,20,0,0,0
Feb 18,31,31,1,19,0,0,0
Feb 19,58,58,27,42,0,0,0
Feb 20,111,111,53,94,1,1,1
Feb 21,209,209,98,190,2,2,1
Feb 22,436,436,227,416,2,2,0
Feb 23,602,602,166,578,6,6,4
Feb 24,833,833,231,803,8,8,2
Feb 25,977,977,144,944,11,11,3
Feb 26,1261,1261,284,1225,12,12,1
Feb 27,1766,1766,505,1729,13,13,1
Feb 28,2337,2337,571,2297,16,16,3
Feb 29,3150,3150,813,3109,17,17,1
Mar 01,3736,3736,586,3685,21,21,4
Mar 02,4335,4335,599,4277,28,28,7
Mar 03,5186,5186,851,5120,32,32,4
Mar 04,5621,5621,435,5498,35,35,3
Mar 05,6284,6284,663,6107,42,42,7
Mar 06,6593,6593,309,6415,43,43,1
Mar 07,7041,7041,448,6875,48,48,5
Mar 08,7313,7313,272,7097,50,50,2
Mar 09,7478,7478,165,7178,53,53,3
Mar 10,7513,7513,35,7165,60,60,7
Mar 11,7755,7755,242,7362,60,60,0
Mar 12,7869,7869,114,7293,66,66,6
Mar 13,7979,7979,110,7198,67,67,1
Mar 14,8086,8086,107,7180,72,72,5
Mar 15,8162,8162,76,7253,75,75,3
Mar 16,8236,8236,74,7024,75,75,0
Mar 17,8320,8320,84,6838,81,81,6
Mar 18,8413,8413,93,6789,84,84,3
Mar 19,8565,8565,152,6527,91,91,7
Mar 20,8652,8652,87,6325,94,94,3
Mar 21,8799,8799,147,6085,102,102,8
Mar 22,8897,8897,98,5884,104,104,2
Mar 23,8961,8961,64,5684,111,111,7
Mar 24,9037,9037,76,5410,120,120,9
Mar 25,9137,9137,100,5281,126,126,6
Mar 26,9241,9241,104,4966,131,131,5
Mar 27,9332,9332,91,4665,139,139,8
Mar 28,9478,9478,146,4523,144,144,5
Mar 29,9583,9583,105,4398,152,152,8
Mar 30,9661,9661,78,4275,158,158,6
Mar 31,9786,9786,125,4216,162,162,4
Apr 01,9887,9887,101,4155,165,165,3
Apr 02,9976,9976,89,3979,169,169,4
Apr 03,10062,10062,86,3867,174,174,5
Apr 04,10156,10156,94,3654,177,177,3
Apr 05,10237,10237,81,3591,183,183,6
Apr 06,10284,10284,47,3500,186,186,3
Apr 07,10331,10331,47,3445,192,192,6
Apr 08,10384,10384,53,3408,200,200,8
Apr 09,10423,10423,39,3246,204,204,4
Apr 10,10450,10450,27,3125,208,208,4
Apr 11,10480,10480,30,3026,211,211,3
Apr 12,10512,10512,32,2930,214,214,3
Apr 13,10537,10537,25,2873,217,217,3
Apr 14,10564,10564,27,2808,222,222,5
Apr 15,10591,10591,27,2750,225,225,3
Apr 16,10613,10613,22,2627,229,229,4
Apr 17,10635,10635,22,2576,230,230,1
Apr 18,10653,10653,18,2484,232,232,2
Apr 19,10661,10661,8,2385,234,234,2
Apr 20,10674,10674,13,2324,236,236,2
Apr 21,10683,10683,9,2233,237,237,1
Apr 22,10694,10694,11,2179,238,238,1
Apr 23,10702,10702,8,2051,240,240,2
Apr 24,10708,10708,6,1967,240,240,0
Apr 25,10718,10718,10,1843,240,240,0
Apr 26,10728,10728,10,1769,242,242,2
Apr 27,10738,10738,10,1731,243,243,1
Apr 28,10752,10752,14,1654,244,244,1
Apr 29,10761,10761,9,1593,246,246,2
Apr 30,10765,10765,4,1459,247,247,1
May 01,10774,10774,9,1454,248,248,1
May 02,10780,10780,6,1407,250,250,2
May 03,10793,10793,13,1360,250,250,0
May 04,10801,10801,8,1332,252,252,2
May 05,10804,10804,3,1267,254,254,2
May 06,10806,10806,2,1218,255,255,1
May 07,10810,10810,4,1135,256,256,1
