Date,total-currently-infected-linear,deaths-cured-outcome-small,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily,cases-cured-daily,deaths-cured-outcome
Feb 15,1,0,2,2,,1,0,0,0,0,0
Feb 16,0,0,2,2,0,0,0,0,0,0,0
Feb 17,0,0,2,2,0,0,0,0,0,0,0
Feb 18,0,0,2,2,0,0,0,0,0,0,0
Feb 19,0,0,2,2,0,0,0,0,0,0,0
Feb 20,0,0,2,2,0,0,0,0,0,0,0
Feb 21,0,0,2,2,0,0,0,0,0,0,0
Feb 22,0,0,2,2,0,0,0,0,0,0,0
Feb 23,0,0,2,2,0,0,0,0,0,0,0
Feb 24,0,0,3,3,1,0,0,0,0,0,0
Feb 25,3,0,9,9,6,3,0,0,0,0,0
Feb 26,6,0,13,13,4,6,0,0,0,0,0
Feb 27,14,0,25,25,12,14,0,0,0,0,0
Feb 28,22,0,33,33,8,22,0,0,0,0,0
Feb 29,37,0,58,58,25,37,0,0,0,0,0
Mar 01,56,0,84,84,26,56,0,0,0,0,0
Mar 02,85,0,120,120,36,85,0,0,0,0,0
Mar 03,121,33.33,165,165,45,121,1,1,1,0,33.33
Mar 04,168,50,228,228,63,168,2,2,1,0,50
Mar 05,221,50,282,282,54,221,3,3,1,1,50
Mar 06,296,57.14,401,401,119,296,8,8,5,3,57.14
Mar 07,383,25,525,525,124,383,10,10,2,24,25
Mar 08,498,34.69,674,674,149,498,17,17,7,2,34.69
Mar 09,760,48.39,1231,1231,557,760,30,30,13,0,48.39
Mar 10,1106,21.05,1695,1695,464,1106,36,36,6,103,21.05
Mar 11,1577,23.11,2277,2277,582,1577,55,55,19,48,23.11
Mar 12,2145,31.27,3146,3146,869,2145,86,86,31,6,31.27
Mar 13,3273,40.8,5232,5232,2086,3273,133,133,47,4,40.8
Mar 14,4485,27.49,6391,6391,1159,4485,196,196,63,324,27.49
Mar 15,5920,36.25,7988,7988,1597,5920,294,294,98,0,36.25
Mar 16,7309,39.22,9942,9942,1954,7309,342,342,48,13,39.22
Mar 17,8837,34.14,11826,11826,1884,8837,533,533,191,498,34.14
Mar 18,10795,37.11,14769,14769,2943,10795,638,638,105,53,37.11
Mar 19,13152,42.88,18077,18077,3308,13152,831,831,193,26,42.88
Mar 20,16026,40.77,21571,21571,3494,16026,1093,1093,262,481,40.77
Mar 21,19006,39.39,25496,25496,3925,19006,1381,1381,288,537,39.39
